SEARCH_ROW,PUBLICATION,DATE,TITLE,EDITION,COUNTRY,JOURNAL-CODE,PUBLICATION-TYPE,BYLINE,LANGUAGE,STATE,LOAD-DATE,CITY,LENGTH,SUBJECT,TEXT
1,"The Namibia Press Agency, (NAMPA)",3/10/2013,Head of Sierra Leone's Anti-Corruption Commission says that 29 government health officials will appear in court on corruption charges,,SIERRA LEONE (94%); PAKISTAN (79%) ,,Newswire,,ENGLISH,,14-Aug-13,FREETOWN,136  words,CORRUPTION (94%); HEALTH DEPARTMENTS (92%); FOUNDATIONS (90%); VACCINES (90%); PUBLIC HEALTH ADMINISTRATION (90%); FRAUD & FINANCIAL CRIME (90%); PHYSICIANS & SURGEONS (84%); BAIL (72%); VACCINATION & IMMUNIZATION (71%),"The head of Sierra Leone's Anti-Corruption Commission says that 29 government health officials will appear in court on corruption charges for having allegedly defrauded the Bill and Melinda Gates Foundation's vaccine program. Joseph Fitzgerald Kamara told The Associated Press that the government's Chief Medical Officer, Dr. Kisito Sheku Daoh, six other medical doctors and 22 health officials are charged with defrauding the Gates Foundation's Global Alliance for Vaccines and Immunization Fund of $523,000. He said all those charged are out on bail and scheduled to appear in court on March 18. The Gates Foundation's immunization fund has suspended payments of $6 million to Sierra Leone over the allegations of misuse of funds. The immunization fund has disbursed more than $27 million to Sierra Leone since 2001."
2,Cape Times (South Africa),2/5/2013,"Big or small scale, in government or business, corruption is corruption",E1 Edition,SOUTH AFRICA (92%),CT,Newspaper,,ENGLISH,,6-Feb-13,,734 words,POLITICAL CORRUPTION (90%); CORRUPTION (90%); CONSTRUCTION (90%); CONSTRUCTION SECTOR PERFORMANCE (89%); CARTELS (89%); CONSPIRACY (89%); WHISTLEBLOWERS (78%); RESTRAINT OF TRADE (78%); BRIBERY (78%); FRAUD & FINANCIAL CRIME (78%); WEALTHY PEOPLE (77%); WAGES & SALARIES (75%); PRICE FIXING (73%); SHAREHOLDER MEETINGS (71%); TALKS & MEETINGS (71%); STADIUMS & ARENAS (69%); SOCCER (69%); EDITORIALS & OPINIONS (59%); JOB CREATION (54%) CapeTimes.Opinion,"If South Africans didn't fully realise it before, they should now: corruption is not the monopoly of government or politicians. The often-used explanation for the rampant corruption being a result of an ""it's our time to eat"" mentality by the new black elite is far from the full story. On Sunday we learnt that a dozen or more top leaders in the construction industry had been rigging tender bids, fixing prices and paying and receiving kickbacks for more than a decade. It meant, among other things, that the taxpayer paid inflated prices for public projects such as soccer stadiums and the Gautrain. The billions the state had overpaid should have been spent on housing, health, education and job creation. Some of the men implicated in the cartel (they have names like Saxby, Macdonald, Meyburgh and Ackerman) were paid salaries of around R500 000 a month. I have good reason to believe that the affidavits made by some of the conspirators to the Hawks were leaked to deflect attention from the absolute scandal that is the public spending at President Jacob Zuma's private mansions at Nkandla and the government's half-truths about it. We should not allow this tactic to succeed. We should keep up the pressure on both issues. What is the difference between Zuma allowing hundreds of millions of taxpayers' money to be spent on his property and the construction industry defrauding the state? Only the amounts involved, really. In both instances public money that could have been spent on the poor is used for a few individuals. Wait, there is a difference. The conspirators in the construction cartel are going to be prosecuted, possibly sent to jail and their companies will get huge fines. Zuma insists he hasn't done anything wrong and, despite evidence to the contrary, says he knew nothing about the improvements to his billionaire estate. It is clear this government and business leaders will not pull out all the stops to stop the corruption wave undermining our national life and economy. It is a task civil society will have to spearhead. The problem is that we have become immune to corruption shocks. We have corruption fatigue. We are gatvol and just go on with life instead of being outraged and doing something. The media remain the main arrow in our arsenal to fight corrupt politicians and business people. They are assisted by a few activist bodies such as Corruption Watch. But we need a lot more activism to make a dent. We need committed individuals to buy a share or two in businesses and corporations and stand up at shareholder meetings and confront management. We need more whistle-blowers in the private and public sectors to expose corruption and we need to rally behind them when they're victimised. They are heroes, and we should honour and protect them. We need ordinary good members of the ANC, the SACP and Cosatu to stand up and refuse to accept the blank denials or glib explanations from the government, using culture, race and history as excuses. We should make sure no act of corruption goes unpunished. The problem is there is good reason to suspect that our first citizen is getting away scot-free from charges of corruption, fraud and racketeering. Just take this weekend's revelations in the newspapers. Did presidential spokesman Mac Maharaj and/or his wife get a kickback paid into a Swiss account after a rigged tender as the Mail and Guardian reported? Did Communications Minister Dina Pule's boyfriend pocket R6 million |irregularly after an event organised by her department, as the Sunday Times reported? Did Public Works Minister Thulas Nxesi lie about the improvements to Nkandla only being for security while a tuckshop for one of Zuma's wives was also built with public money, as the City Press alleged? Will any of the above individuals be sanctioned if the allegations are proved? Probably not. Will we have forgotten about it in a few weeks' time? Probably. We should start by being unforgiving even about small lies, lies told as part of party politicking, because that's where dishonesty starts. For example, when trade unionists threaten hellfire if farmworkers don't get R150 a day while they live in luxury and pay their own workers much less, we should protest loudly. The thorough grilling Helen Zille got after receiving money from the Gupta family showed the way. Can we now apply the same aggression and relentlessness when we confront other politicians?"
3,South African Official News,8/2/2012,Heat turned up against corruption in fisheries sector,,PAKISTAN (79%); SOUTH AFRICA (79%) ,,Newswire,,ENGLISH,,14-Aug-13,"CAPE TOWN, SOUTH AFRICA (77%) Cape Town",430  words,CORRUPTION (92%); AGRICULTURE DEPARTMENTS (90%); FISHERIES ADMINISTRATION (90%); INVESTIGATIONS (90%); FISHERIES (90%); AUDITS (90%); ANIMAL POACHING & TRAFFICKING (78%); FORENSICS (78%); MARINE RESOURCES MANAGEMENT (78%); ACCOUNTING (77%); TALKS & MEETINGS (72%); DISMISSALS (70%); COASTAL AREAS (60%),"The Department of Agriculture, Forestry and Fisheries is determined to root out corruption within its ranks and to that end, the police have tasked an internationally recognised auditing firm to conduct a forensic audit of the fisheries branch after a preliminary investigation uncovered evidence of corruption. Briefing media in Parliament on Wednesday, Agriculture, Forestry and Fisheries Minister Tina Joemat-Pettersson said the findings from the preliminary investigation could implicate some officials in the department, with corruption evident in the allocation of quotas, transfer of rights and preferential treatment given to certain businesses. Joemat-Pettersson, who declined to name the company as she had not been cleared by police to do so, was due to present a more detailed briefing to her fellow Cabinet members on the corruption findings at the fortnightly Cabinet meeting on Wednesday. She said the investigations were being conducted into all types of corruption in the department, but that the initial probe had indicated there was corruption centred on abalone. ""We are determined to root out corruption. We will not hesitate to act against any official who is implicated in any way in any corrupt practice."" The minister said since preliminary investigations began, her office has had to respond to weekly allegations from officials claiming that she was going to fire them. Joemat-Pettersson said some allegations had also been made about her as a person, pointing out that if these were true, people must bring evidence to back these up. Joemat-Pettersson said the department would now add further measures to secure the department's information and ensure the safety of staff. Last week, following increased surveillance by police and other officials, over 30 436 units of abalone were confiscated, leading to seven arrests in five different incidences of illegal poaching. Joemat-Pettersson commended community members and officials in her department who had helped expose poaching activities and encouraged South Africans both inside and outside her department to come forward if they had other information around poaching. The arrests last week include two arrests made in Riviersonderend last Friday and the confiscation of 3 806 abalone. Joemat-Pettersson said the department was busy calculating the cost to the economy of the confiscated abalone. However, she said she was concerned because the proceeds of confiscated abalone were awarded to Marine and Coastal Management, and therefore it was crucial to secure arrests before abalone is removed from the sea."
4,South African Official News,8/8/2012,Anti-Corruption Task Team raids Auction Alliance properties,,PAKISTAN (65%); SOUTH AFRICA (55%) ,,Newswire,,ENGLISH,,14-Aug-13,"PRETORIA, SOUTH AFRICA (54%) Pretoria",110  words,CORRUPTION (92%); INVESTIGATIONS (90%); CRIMINAL INVESTIGATIONS (90%); SEARCH & SEIZURE (88%); ARRESTS (85%),"The Anti-Corruption Task Team raided 13 properties owned by Auction Alliance across the country on Tuesday. Hawks spokesperson Colonel McIntosh Polela said the raids came as part of investigations into allegations of corruption. The raids were conducted at five properties in the Western Cape, one in the Eastern Cape, one in Durban, five in Gauteng and another in Bloemfontein, he added. ""No arrests were made. It was a search and seizure operation to help in an on-going investigation,"" Polela said. The Hawks, Special Investigating Unit, South African Revenue Service, National Treasury and the National Prosecuting Authority were all involved in the operation."
5,South African Official News,8/17/2012,Corruption destabilises democracy - Premier Modise,,SOUTH AFRICA (92%); PAKISTAN (79%) ,,Newswire,,ENGLISH,,14-Aug-13,,468  words,CORRUPTION (93%); CONFERENCES & CONVENTIONS (89%); ETHICS (79%); POLITICAL CORRUPTION (79%); SCANDALS (79%); WHISTLEBLOWERS (79%); FRAUD & FINANCIAL CRIME (79%); LABOR FORCE (78%); REGIONAL & LOCAL GOVERNMENTS (77%); POLITICAL SCANDALS (76%); BRIBERY (74%); RURAL DEVELOPMENT (73%); RISK MANAGEMENT (72%); FORENSICS (61%),"Corruption is a disabler that destabilises democracy and democratic institutions as it slows economic development and hampers service delivery says North West Premier, Mme Thandi Modise. Speaking at the opening of the two-day Provincial Anti-Corruption Round table discussion that commenced in Potchefstroom on Thursday, Premier Modise vowed that her administration will intensify its fight against corrupt elite networks in order to win the battle against greed and corruption. ""It is highly disappointing that scandals involving public officials are common in the South Africa.Everyday people are debating and complaining about outright corruption, lack of ethics, transparency, integrity and unprofessional behavior in government. Corruption has become so rampant throughout the world, not just in South Africa but both public and private sectors throughout the world are faced with the challenge of eliminating bribery and corruption,"" she stressed. Premier Modise urged delegates to continue encouraging everyone to be aware of corruption in all sectors as it has the potential of threatening the country's integrity. Premier Modise said that the provincial government has put in place strategies to root out corruption by recommitting itself to uphold and implement the programme of action of the Provincial Anti-Corruption Forum. She said the forum emphasises among others the promotion of strong governance structures, sound financial management practices and internal controls, competent workforce and prevention of collusion particularly between the public and private civil sector officials. She also called on all delegates to help in building the culture of integrity in all sectors of society, including communities, families and individuals. Many presenters at the conference supported Chairperson of the Moral Regeneration Movement, Father Smangaliso Mkhatshwa's call for reclaim of values and united civic action. They called for intensified advocacy and protection of whistle blower. The Public Service Commission commended the province for having the only functional Anti-Corruption Forum in the country. Addressing the conference, Commissioner Selinah Nkosi commended the Office of the Premier for establishing the Provincial Anti-Corruption Unit,a dedicated Hotline, Risk Management and the Forensic Unit and  for putting  in place mechanisms to prevent, detect and investigate corruption. ""The Office of the Premier is leading by example with 100% compliance in financial disclosures for the 2011/2012 financial year. Departments of the Finance ,Agriculture and Rural Development also achieved 100% submissions. Though there is room for improvement in departments that failed to achieve a 100% submissions, other provinces could benchmark with Office of the Premier the North West Province"" she said."
6,South African Official News,8/19/2012,Mpumalanga Premier David Mabuza comments on arrests linked to Mbombela stadium tender corruption,,PAKISTAN (79%) ,,Newswire,,ENGLISH,,14-Aug-13,,608  words,CORRUPTION (90%); REGIONAL & LOCAL GOVERNMENTS (90%); DUE PROCESS (76%); RURAL DEVELOPMENT (65%),"Mpumalanga Premier David Mabuza says his provincial government welcomes the arrest of suspects linked to the alleged Mbombela Stadium tender corruption. Speaking in Nyongane near Hazyview yesterday (Saturday, 18 August 2012) where he handed over four sponsored houses to impoverished beneficiaries, Premier Mabuza described the arrests as ""a good step"" in the right direction. ""We welcome the move by the Hawks, this is taking us into closing this chapter since this matter has been there for a very long time. We are not saying those who are arrested are guilty, but at least this will help all of us to know if there were irregularities or not. ""There have been serious speculations around it and the people out there have a right to know if really there was corruption or not. Therefore we believe that with this move, at least the truth will prevail, and that there will be closure to this matter,"" said Mabuza. He urged the citizens to allow the law to take its due processes. Speaking about the sponsored houses, the Premier acknowledged the efforts by local community structures that donated and built the houses adding that they displayed ""personal care"" for each other. Mabuza thanked the structures saying he understood they also had problems, but it was encouraging that they left their problems and helped others. He conceded that although the provincial government had done well in delivering houses, there was still a huge backlog. ""We have done well in housing the people in the former townships, our focus now is in the peri-urban areas, hence the introduction of the Comprehensive Rural Development Programme projects. ""We have many people on waiting lists because the processes we use to compile these lists are very complex and full of flaws. We need to come closer and assist the department of human settlement to ensure that people who are on the waiting lists are guaranteed houses,"" said the Premier. He said there should be one genuine, valid list and that there should be no favouritism. He said it was disturbing that some councillorsprioritised the youth in allocating the Reconstruction and Development Programme (RDP) houses instead of the elderly people who were living on collapsing old rusty shacks and mud houses. The Premier also urged the people in the province to be patient and not invade land as it has been the case in Barberton and Nelspruit recently. ""It is wrong to invade land, it makes our work as government very cumbersome because once that has been done, there will be a need to urgently put infrastructure in those areas. ""While government would be working on servicing that land, people would on the other hand going to the streets to demand services when such had not been planned for the invaded land,"" he said. He requested the people to work closely with municipalities in ensuring that they were settled in serviced lands in order to avoid un-necessary hostility between them and municipalities. After identifying five other beneficiaries for sponsored houses in Clau-Clau, Zwelisha and Ngodini, the Premier told the community not to destroy the councillors' houses whenever they were frustrated. He said it was high time that communities understood that leaders should be ""groomed"" and be prepared for leadership positions. ""We must understand that leaders do not fall from the sky, it is our responsibility as communities to mentor the people we want to lead us, and when we are dissatisfied with their leadership styles, we should unanimously remove them and put other people instead of burning their houses. ""We must be united as a community and guide our leaders on how they should lead us,"" concluded Mabuza."
7,South African Official News,10/1/2012,"Department of Agriculture, Forestry and Fisheries forensic investigation confirms multi-billion rand corruption in vessel management by Smit Amandla Marine Servicees Pty LTD",,SOUTH AFRICA (92%); PAKISTAN (79%) ,,Newswire,,ENGLISH,,14-Aug-13,,908  words,FORENSICS (91%); AGRICULTURE DEPARTMENTS (90%); AGRICULTURE  FORESTRY & FISHING LAW (90%); EVIDENCE (90%); FISHERIES ADMINISTRATION (90%); INVESTIGATIONS (90%); FISHERIES (90%); CRIMINAL INVESTIGATIONS (90%); CORRUPTION (90%); CONTRACT AWARDS (90%); PUBLIC FINANCE (90%); PUBLIC CONTRACTING (90%); CONTRACTS & BIDS (90%); FRAUD & FINANCIAL CRIME (89%); PURCHASING & PROCUREMENT (78%); TREASURY DEPARTMENTS (77%); TAX LAW (75%); VALUE ADDED TAX (75%); POLITICAL CORRUPTION (74%); MAINTENANCE & REPAIR (50%),"The Ernest & Young forensic report confirmed substantial evidence of irregular contracts awarded to Smit Amandla Marine (SAM) or different guises thereof since 1995 until 31 March 2012. The acting Director-General (DG) of the Department of Agriculture, Forestry and Fisheries (DAFF), Sipho Ntombela, has received the forensic report on the investigation, commissioned to probe procurement processes and systems in the Fisheries Branch of DAFF, today. The report reveals amongst others that the agreement concluded in 2005 and subsequent extensions, between SAM and the department failed to comply with the tender board regulations, with departmental procurement policies, National Treasury Regulations, income tax regulations and also the Public Finance Management Act. As an example, there was a contract extension entered into worth millions of rands by mere letter without any proof of any tender process followed or supporting documentation. For instance, the contracts signed, particularly those signed in 2000, 2005 and 2010 were irregular and were deliberately drafted to have maximum benefit for SAM amounting to approximately R1.6 - R2 billion. The State had no protection in any of these contracts and the available evidence suggests complicity and corruption between government officials and SAM. Smit International is a Dutch multinational with South African subsidiaries. The current SAM, South African subsidiaries are Smit Amandla Marine, which was formerly called Smit Marine and Pentow Marine. In all of these guises these Smit companies had the contract for the maintenance and repair of the government fleet lease from 2000 - 2012. Further investigation revealed that they may even have had the contract since 1995 until 2000. This is being verified by further forensic analysis. These extensions also exceeded the required number of years for open tenders and were without any specified contract price. This gave rise to substantial expenditure running into millions of rands which is and was highly irregular in terms of the Public Finance Management Act (PFMA). In some instances, contracts were entered into as extensions running into millions of rands even though the service had little to do with the prior terms of contract. This should have necessitated an entirely new tender process. It also emerged that the terms of payment were amended. Previously SAM was paid in arrears for services rendered, but subsequently, they were paid in advance for services not yet rendered. This confirms the high level of complicity with officials in the Fisheries Branch. The evidence indicates that the state was defrauded to the extent of approximately R1.6 billion which includes invoices of duplicate payments, invoices without tax or VAT. Invoices worth up to R600 million have recently been uncovered hidden away from the investigators and could indicate more extensive defrauding of the state. Furthermore, payments were made to SAM as recently as after the termination of the contract after March 2012. There is also substainal evidence that multiple government departments were asked to make payment, for example, where a contract is entered into with one government department, invoices and payment are made by other government departments in violation of the of the PFMA. In some instances the state was levied with amounts worth tens of millions at a time of which there is no evidence of SAM having provided any service to the state. There are instances where monies owing by SAM to the state have been deliberately withheld with the assistance of complicit state officials in the Fisheries Branch. All of the above evidence has necessitated that the forensic audit investigation be expanded to include the period to 2000 for further evaluation of documentation. That would include servers and computers and the engagement of senior officials involved in all of these contracts. This is substantial evidence of the unlawful defrauding of the state. Evidence against SAM and officials in Department of Environmental Affairs (DEA) and DAFF is overwhelming, indicating wide spread complicity, corruption, deliberate entering of contracts unfavourable to the state. In addition, there is total disregard for Treasury Regulations and procurement processes and attempt to hide this information from investigations in the last few months. There has been a concerted effort by the parties associated with SAM to prevent DAFF and the forensic investigators from finding this evidence. Ernst & Young discovered documentation was moved to warehouses in Paarden Eiland. Together with the law enforcement agents, they were able to prevent the destruction of valuable data and contracts from government systems and computers. The SAM contract was entered into by the previous Department of Environmental Affairs and Tourism and was given to Pentow Marine and Smit Marine. Despite this, there appears to be no evidence of a valid agreement between the then Department and Smit Marine. The DAFF only took over the contract from 2011 from the DEA and all prior agreements were concluded by the former department. Available evidence also indicates that National Treasury and PFMA regulations were flouted in the awarding of the irregular extension of the contract. Mr Ntombela will present the content of the report to Minister Tina Joemat-Pettersson tomorrow morning and will then brief the media at 10h00 at Imbizo Media Centre, Parliamentary Precinct."
8,South African Official News,11/16/2012,Gauteng Provincial Government gets tough on fraud and corruption,,PAKISTAN (79%) ,,Newswire,,ENGLISH,,14-Aug-13,,971  words,CORRUPTION (93%); REGIONAL & LOCAL GOVERNMENTS (92%); INVESTIGATIONS (90%); FRAUD & FINANCIAL CRIME (90%); TREASURY DEPARTMENTS (89%); POLITICAL CORRUPTION (78%); CIVIL SERVICES (78%); WHISTLEBLOWERS (77%); ASSOCIATIONS & ORGANIZATIONS (76%); ECONOMIC DEVELOPMENT (74%); HUMAN CAPITAL DEVELOPMENT (74%); SUPPLY CHAIN MANAGEMENT (73%); ECONOMIC NEWS (73%); PUBLIC HEALTH ADMINISTRATION (71%); WAGES & SALARIES (69%); RURAL DEVELOPMENT (69%); AGRICULTURE DEPARTMENTS (66%); WHISTLEBLOWER PROTECTION (51%),"On behalf of the Gauteng Provincial Treasury, and indeed the rest of the Gauteng Provincial Government (GPG), I extend a warm welcome to you all. We are proud to host Gauteng's first International Fraud Awareness Seminar. This event forms part of the International Fraud Awareness Week, which is the initiative of the Association of Certified Fraud Examiners that runs from the 12th to the 17th of this month. International research has proven that fraud is prevalent both in the public and private sector. As a result organisations around the world lose an estimated 5% of their annual revenue to fraud. We are in this together, that is why there is a need for the public and private sector to work very closely to develop and implement strategies aimed at combating this challenge. Our participation in this gathering reaffirms our outmost commitment to fighting fraud and corruption. We cannot allow some amongst us to operate with impunity. Our efforts are guided by the Gauteng Anti-Corruption Strategic Framework, which makes provision for, amongst other things, that all reported cases of corruption are fully investigated and maximum penalties are applied to perpetrators, blacklisting of corrupt officials and service providers, the establishment of a centralised electronic database of cases of fraud and corruption and provision of whistle-blower protection services to public servants and the public. Implementation of the anti-fraud strategy gaining momentum The implementation of the provincial government anti-fraud and corruption strategy is progressing as planned. In the next few weeks the Gauteng Provincial Treasury will embark on a process to verify all employees of the provincial government to ensure that salaries are paid to authentic employees. This process will enable us to maintain the accuracy of the payroll system, match bank account details with authentic officials and detect and prevent any fraudulent transactions. In this way we will improve the efficiency in the management of our human capital, maximize production and avoid over expenditure. The implementation of this project will start with the Gauteng Provincial Treasury, followed by the Gauteng Department of Finance and then the Gauteng Department of Health, before it is rolled out to the entire provincial. In June this year, we announced that the process of procuring goods and services is being tightened. This is precisely because fraud manifests itself in supply chain management processes. In this regard we have engaged the State Security Agency to conduct a thorough vetting process of all supply chain management officials in the provincial government. This is already underway and officials in Department of Community Safety, Department of Economic Development, Office of the Premier, Gauteng Provincial Treasury, Gauteng Department of Finance, Gauteng Department of Agriculture Rural Development and the Gauteng Department of Sports, Arts, Culture and Recreation have already been vetted. Boosting investigative capacity to achieve results In the first six months of this financial year, Gauteng received a total of 42 cases of alleged fraud and corruption through the National Anti-Corruption Hotline, 30 of these cases were reported in the second quarter. These cases ranged from corruption, fraud, procurement irregularities, misappropriation of funds, unethical behaviour, reckless driving, appointment irregularities and theft. In an effort to eliminate backlog and increase the rate of case resolution in the province, 70 officials are undergoing advanced investigation training. This is intended to, amongst others, provide the principles / procedures of forensic investigation and establish in-depth knowledge of specific investigation techniques and methods. We want to see action be taken against those who will be found guilty, even if people need to be criminally charged and prosecuted. Our view is that this will send a strong message that fraud and corruption will not be tolerated under any circumstances, no matter the status and position of the person involved. As we have said before, we must be aggressive and go after those who operate with impunity and pillage the resources of the state. Indeed the net is tightening for those who continue to plunder public resources. Over the past three years many employees and service providers either lost their jobs, were criminally charged or blacklisted after being found guilty of fraud and corruption in the provincial government: Finance official at the Gauteng Department of Agriculture and Rural Development was dismissed for making deliberate duplicate payments to a service provider. A service provider was blacklisted by the Gauteng Department of Finance for tender irregularities, a letter has been dispatched to National Treasury. A finance practitioner at the Gauteng Department of Finance was arrested and dismissed for fraudulent use of GPG employees personal details to obtain loans, credit cards and mortgage bonds. A human resource team leader at the Gauteng Department of Finance was arrested and dismissed for appointing ghost teachers whose salaries were paid to his syndicate. These and many other cases demonstrate our commitment to fight fraud and corruption decisively: But we need to do more. That is why we are also prioritising the following: Lack of proper management systems to monitor or deal with corruption e.g. nepotism both in the local government institutions and the provincial government departments. Staff's lack of knowledge and awareness about corruption and its manifestations. Individual units not working as teams across departments and municipalities. Lack of cooperation with other sectors - business and civil society. Departments do not have capacity to deal effectively with cases referred from the National Anti-Corruption Hotline."
9,South African Official News,11/21/2012,MEC Nono Maloyi to launch the Anti-Fraud and Corruption Strategy,,PAKISTAN (75%) ,,Newswire,,ENGLISH,,14-Aug-13,,195  words,CRIME PREVENTION (91%); CORRUPTION (91%); POLITICAL CORRUPTION (78%); ETHICS (73%),"The North West MEC for Human Settlements, public Safety and Liaison, Nono Maloyi will launch the Anti-Corruption and Fraud Prevention Strategy aimed at intensifying efforts to prevent and combat fraud and corruption within the department. The strategy outlines preventative measures and identifies challenges, for both combating and preventing corruption and promoting professional ethics. ""Fraud and Corruption within Public Service defeats the government's purpose of delivering services to the electorate, and as a results my Department will strengthen its efforts in the fight against this monster,"" said Maloyi. MEC Maloyi will further explore effective preventative mechanisms aimed at combating occurrence of fraud and corruption, strengthening the internal locus of control in the fight against fraud and corruption. MEC, Acting Head of the two Branches and departmental senior staff members will sign the Pledge, declaring their support in the fight against Fraud and Corruption. Members of the Media are invited to be part of the event which will start with a Media Briefing and will be held as follows: Venue : TTA Hall Mahikeng Date : 23 November 2012 Time : 9h00"
10,South African Official News,11/23/2012,"Gauteng, banks to stamp out corruption in Lenasia",,SOUTH AFRICA (93%); PAKISTAN (79%) ,,Newswire,,ENGLISH,,14-Aug-13,"JOHANNESBURG, SOUTH AFRICA (88%); PRETORIA, SOUTH AFRICA (73%) Pretoria",522  words,BANKING & FINANCE ASSOCIATIONS (90%); BANKING & FINANCE (90%); INVESTIGATIONS (90%); CORRUPTION (90%); REGIONAL & LOCAL GOVERNMENTS (90%); ASSOCIATIONS & ORGANIZATIONS (90%); FRAUD & FINANCIAL CRIME (90%); HEADS OF STATE & GOVERNMENT (78%); TALKS & MEETINGS (77%); CRIMINAL INVESTIGATIONS (76%); MORTGAGE INVESTMENTS (71%); BONDS (70%),"The Gauteng Housing and Local Government Department has entered into a partnership with the Banking Association of South Africa to stamp out cases involving the illegal sale of state-owned land in Lenasia, south of Johannesburg. The co-operation agreement follows discussions which further revealed that at least 10 mortgaged properties affected by the demolitions of structures in Lenasia are registered on the books of the members of the association. ""The affected loans are currently being investigated by the banks. Most of the loans date back to the 1990s and all, at face value, appear to be normal commercial transactions. We have therefore raised the matter with the department in order to find an amicable solution,"" said the general manager for human settlements at the Banking Association South Africa, Pierre Venter. The parties have agreed to centralise the investigations of the affected loans within the department's Anti-Fraud and Corruption Unit. Gauteng Housing and Local Government Head of Department, Mongezi Mnyani, said the department expected to exclude the properties from the list of houses earmarked for demolitions. In cases where fraud was suspected, the province in collaboration with the Hawks will undertake further investigations. The banks have also committed to conduct their own investigations utilising their internal anti-fraud departments to ensure that their mortgage officials were not complicit in the suspected fraud. The parties have also agreed to form a joint task team in order for the financial institutions to be provided with information of future ""clean ups"" by the department. ""The process is critical as it will allow the financial institution to scrutinise affected properties before any state action is undertaken,"" said Mnyani. He said the banking sector had given the department a commitment to support them in their efforts as it fully supports the need for law and order to prevail and that transgressors should be brought to book. The joint initiative comes after residents of Lenasia claimed that they have mortgage bonds from banks on their properties, in the process misleading the Premier and the MEC to believe that bankers were complicit in the processes of illegally occupying land. However, Venter said after their meeting with the department they discovered the statements had no element of truth in them. More than 80 houses have reportedly been demolished in Lenasia since last week. The department said it had identified 113 houses in the area, which it said were illegally built on land intended for government houses. Government argues that the land was sold to the occupants illegally. The department said this week that investigations by the Anti-Fraud and Corruption Unit revealed that fraudsters sold several stands ranging from R2 500 to R95 000 and issued buyers with fraudulent deeds of sale which bore the department's official logo. This week, Cabinet instructed Human Settlements Minister Tokyo Sexwale to urgently interact with the Gauteng Provincial Government to find a solution to the eviction of people from houses allegedly built illegally in the area."
