SEARCH_ROW,PUBLICATION,DATE,TITLE,EDITION,COUNTRY,SECTION,JOURNAL-CODE,PUBLICATION-TYPE,BYLINE,LANGUAGE,LENGTH,ORGANIZATION,LOAD-DATE,CITY,SUBJECT,TEXT
517,The Star,1/22/2014,Three Kwale PSB Officers Quizzed Over Corruption Allegations,,KENYA (79%),,,Newspaper,Alloys Musyoka,ENGLISH,214 words,,23-Jan-14,,CORRUPTION (92%); COUNTIES (90%); BRIBERY (90%); INTERROGATION OF SUSPECTS (90%); ENERGY & UTILITY LAW (78%); JOURNALISM (71%) Kenya; Corruption; Legal and Judicial Affairs,"THREE Kwale County Public Service Board officials were on Monday quizzed over allegations of nepotism, tribalism and corruption. Chairman Kassim Riga, secretary Victoria Tumaini and commissioner Salim Mrina appeared before labour committee led by Swalehe Simba. Riga requested to be heard in camera as he responded to corruption allegations levelled against the board. He said the matter was very sensitive to be heard in public. Ndavaya ward representative Juma Masoud told the sitting that some people had allegedly informed him that one had to bribe the commissioners to get any job. ""Is it true that no one can get a job in Kwale before he or she bribes you? Is it true that in the suspended recruitment of ECD teachers, about three people claimed they were asked to pay Sh100,000 to be picked ,"" Masoud said. Riga said he is willing to tell the committee everything. He said he was personally approached by one of the county leaders to give his relative a job in exchange of a beach plot. Riga told the committee he told off the leader, who he refused to name, before journalists were sent out. Sources who refused to be named told the Star that the leader is one of the MCAs. Simba said he will not discuss the issue currently until they table a report before the assembly for discussion."
518,The Star,2/1/2014,President Uhuru and DP Ruto Will Not Eliminate Corruption,,KENYA (96%); ETHIOPIA (92%); PHILIPPINES (79%),,,Newspaper,Koigi Wamwere,ENGLISH,899 words,,3-Feb-14,,CORRUPTION (91%); RAILROAD CONSTRUCTION (90%); MASS TRANSIT CONSTRUCTION (90%); POLITICS (79%); CARTELS (76%); ETHNICITY (60%); INTERNATIONAL ECONOMIC ORGANIZATIONS (56%) Kenya; Corruption; Construction; Industry and Infrastructure,"President Uhuru and DP Ruto have announced they will proceed with the multibillion railway project from Mombasa to Malaba and those who don't like it can go and hang. Kenyans have however raised a red flag over the railway project citing irregularities that include; different figures for the cost of the project from different ministries, overpricing of the project compared to the same job done for Ethiopia and most shocking, giving contract to a company that is blacklisted by World Bank over improprieties in the Philippines. Don't we fear hunting with ogres or are we ogres too? While denying any possibility of corruption in the railway contract, President Uhuru and DP Ruto have claimed that those who are complaining against the project are holding brief for corrupt cartels in the government who were inherited from the Kibaki regime but no one is sacking them! If some leaders agree there are cartels in government seeking contracts for themselves, local and Chinese contractors, nothing should proceed before the air is cleared. But although Uhuru and Ruto deny any corruption in these deals, people have a right to be apprehensive when different leaders in the same government claim graft about the same contracts. When accusations of corruption are made, poor Kenyans must feel uncomfortable when they remember grabbing of land by Kenyatta government, Ken Ren and Goldenberg of Moi era, Anglo-leasing, Triton, loss of free education and Aids money under Kibaki and now Railway, Lapsset, Laptop and Tassia Estate of NSSF under Uhuru and Ruto. Is not, once bitten twice shy? But if overpricing of projects is not denied by Uhuru and Ruto and if the railway project goes on, it is Kenyan taxpayers who will shoulder the bill for many years. This is why Kenyans get poorer while the corrupt get richer. When corruption was exposed during Kenyatta and Moi eras, the exposures were ignored and their authors killed or detained without charge or trial. When corruption was exposed under Kibaki, it was taken as legitimate and those raising the alarms were dismissed as doomsayers, liars or the never-do-wells and Kenyans continue to pay for it. Likewise, Uhuru and Ruto have said in very forceful language that suspect projects will go on whatever anybody says. And fortunately for them, ethnic leaders have their Chinese terra-cotta warriors who will go to the grave with them, not for their innocence but shared ethnicity. The Kikuyu even say however earned, cattle in Kikuyu land are better than those in Maasai land while pastoral communities say, all cattle belong to them. How then can leadership extirpate corruption when communities justify and defend it? Kenyan leaders will not give up corruption if they benefit from it and know Kenyans support it even when they are its victims. Leaders believe political life is a gamble and the bigger the gamble, the greater the gain. To political high-stake players, a gamble of Sh400 billion is irresistible however baffling and risky. Indeed, mega corruption is the goose that lays the golden eggs and only a foolish leader will commit suicide by killing it. President Uhuru has asked people who are dissatisfied with the railway project to go to him or parliamentary committees for remedy. But how can leaders arbitrate against corruption when MPs, senators, MCAs, President and his deputy avoided vetting by shoving aside chapter six of the constitution? What corruption is President Uhuru fighting with his website when he is not fighting alleged graft in the major projects of Jubilee government? When I was in Parliament and government, I learnt Kenya is a society whose 95 per cent lies in the dark, underground of corruption and only five per cent of it is above the surface, transparent, honest and untainted by graft. From their refusal to implement annual reports of the Comptroller and Auditor General, reports of Parliamentary Accounts Committee and Parliamentary Investments Committee, Kenyan governments from colonialism to Uhuru's have never fought and will not fight corruption. In Kenya, a crusader against corruption is an enemy of government that is always a friend of graft. When I was elected chairman of PAC in April 1981, President Moi threatened to dissolve the committee if I did not resign. Corrupt civil servants protested that as chair of PAC, I would use the committee to witch-hunt them. When I refused to resign, they forced compliant members to vote me out in order to ""save"" the committee. Have we learnt nothing since 1981, if Uhuru and Ruto government can claim the railway deal is clean and beneficial to Kenya, claim it wants to fight corruption but give a multi-billion contract to a Chinese company that is blacklisted by the World Bank. Has Kenya not been impoverished by fake contracts with conmen-contractors because we failed to undertake due diligence on them? Is the appetite and greed of individuals to earn billions enough to mortgage the survival of the nation and entire future of our children and their children? How can Ruto and Uhuru claim Jubilee government is for development, but allow foreign contractors to overprice projects by hundreds of billions? With what shall we finance our future development if we allow corruption to bankrupt us today? To end corruption, Kenyans must stop defending graft by their ethnic elites, unite and use all the forums available to expose, rebuke, attack and kill corruption."
519,The Star,2/1/2014,ICT Board Cautioned On Corruption Temptations,,KENYA (94%),,,Newspaper,Constant Munda,ENGLISH,409 words,,3-Feb-14,"NAIROBI, KENYA (72%)",CORRUPTION (90%); APPOINTMENTS (90%); ELECTRONIC GOVERNMENT (77%); COMPUTING & INFORMATION TECHNOLOGY (74%); COLLEGES & UNIVERSITIES (73%); APPROVALS (73%); ASSOCIATIONS & ORGANIZATIONS (73%); EXECUTIVES (69%); PURCHASING & PROCUREMENT (57%) Kenya; Corruption; ICT and Telecom,"ICT Secretary Fred Matiang'i has warned the nine-member ICT Authority board to be wary of corruption temptations that could come through multi-billion deals in fatty government tenders under their watch. The ICT authority is mandated to approve procurement processes of the capital intensive ICT projects including delayed Sh1.2 trillion Konza Technology City. ""You come in at a very challenging time when government is investing heavily in ICT, "" Matiang'i said on Thursday when he inaugurated the board in Nairobi. ""Public interest must come first because there is going to be serious investment now and in future."" However, the appointment of six directors by the CS on January 16 has sparked off sharp protests from ICT Association of Kenya over the procedure used and heavy public sector presence. ICTAK charged that the CS contravened legal notice 183 of 2013 in appointing some of the directors from public universities and their concurrent appointment when the law stipulates they be appointed at different times to avoid vacuum when their respective terms expires. ""We are not out to sabotage anybody but the procedure should be followed,"" said ICTAK secretary general Kamotho Njenga. ""The ministry already has a number of court cases that has slowed implementation of critical projects and the CS should revoke the gazette notice to avoid further suits. "" The contested appointees from public universities are Timothy Waema and Elijah Omwenga both of University of Nairobi and Esther Kibere of Kenyatta University. Matiang'i however dismissed ICTAK protest as ""petty"" from ""idle"" people saying he went for some of the best brains. ""This was deliberate because we want to take standards higher,"" he said. ""They have engaged in...research for many years and they will come up with seamless policies. "" Other appointed members are Bertha Dena of Unites States International University, David Mugo and Ugas Mohamed from the private sector. They will be joined on the board, chaired by last month's presidential appointee Edwin Yinda, by representatives of Principal Secretaries in ministries of ICT,Treasury and Lands. The authority in August 2013 assumed duties previously discharged through Kenya ICT Board, Department of e-Government and the Government Information Technology Services then under Treasury. Matiang'i however remained non-committal on when he will appoint the chief executive of the authority saying it will be done procedurally and in due course."
520,The Star,2/6/2014,Mandago Seeks Help to Fight Corruption,,KENYA (79%),,,Newspaper,Mathews Ndanyi,ENGLISH,107 words,,10-Feb-14,,CORRUPTION (94%); COUNTIES (92%); ETHICS (90%); COUNTY GOVERNMENT (90%); REGIONAL & LOCAL GOVERNMENTS (90%) Kenya; Corruption,UASIN GISHU Governor Jackson Mandago has invited the Ethics and Anti-Corruption Commission to help unearth graft allegations in the county government. He said the EACC will train county workers on new policies of fighting corruption in public offices. Mandago said Uasin Gishu is among the five counties selected by the EACC under a pilot project to implement a new strategy to fight graft in counties. He was speaking during a training workshop attended by Uasin Gishu county officials in Eldoret town on Monday. EACC chairman Mumo Matemu visited Eldoret last week and said counties will be used to implement strategies in tackling corruption.
521,The Star,2/6/2014,"Corruption Is Fighting Back, Says EACC Chairman",,EASTERN AFRICA (72%); KENYA (72%); AFRICA (72%),,,Newspaper,Nzau Musau,ENGLISH,161 words,,10-Feb-14,,CORRUPTION (92%); ETHICS (89%) Kenya; Corruption,"ETHICS and Anti-Corruption Commission chair Mumo Matemu yesterday said he has begun to ""feel the heat of corruption fighting back"". He told guests during the launch of East Africa Breweries Limited's Pathway of Pride on Tuesday evening that the fight back has become innovative. Matemu said the commission is being diverted into sideshows to thwart its focus on ending corruption. He vowed not to waver despite an ongoing campaign to malign the commission. A section of the media reported that Matemu was under pressure from the directors of Chaterhouse Bank to clear it of graft charges and has been meeting them. Yesterday, Matemu denied the claims referring the Star to the speech he gave at the EABL event: ""I have never met any official of the said bank. I am not ready to be distracted on our main focus of fighting grand corruption. I refer you to the speech I delivered yesterday where I said they are becoming innovative in their quest to divert attention,"" he said."
522,The Star,2/6/2014,"Corruption Is Fighting Back,Says EACC Chairman",,KENYA (92%); AFRICA (88%); EASTERN AFRICA (73%),,,Newspaper,Nzau Musau,ENGLISH,358 words,,10-Feb-14,,CORRUPTION (93%); ETHICS (79%); INVESTIGATIONS (79%); EXTORTION (78%); FRAUD & FINANCIAL CRIME (78%); MANAGERS & SUPERVISORS (74%); MONEY LAUNDERING (73%); TAX FRAUD (73%); EXECUTIVES (72%); TAXES & TAXATION (69%); TAX LAW (65%) Kenya; Corruption,"ETHICS and Anti-Corruption Commission chair Mumo Matemu yesterday said he has began to feel the heat of corruption fighting back. He told guests during the launch of East Africa Breweries Limited Pathway of Pride on Tuesday evening that the fight back has turned innovative. Matemu said the commission is being diverted into sideshows as means of thwarting its focus on taming grand corruption. He vowed not to waver despite an ongoing campaign to malign the commission. ""I want to assure all Kenyans that the EACC will proclaim its full constitutional mandate as an independent Commission and will be objective at all times,"" Matemu said. ""I wish to make it clear that the commission will not succumb to any form of pressure, propaganda, coercion, blackmail, intimidation or undue influence from any person."" The issue at hand, the Star established, is claims that the commission is preparing the ground for re-opening of the controversial Charterhouse Bank. A section of media reported that Matemu was under pressure from directors of the bank to clear it and has been meeting them. They quoted a letter allegedly written by an official of the bank demanding public release of a report of an investigation carried out by the defunct Kenya Anti-Corruption Commission on its operations several years ago. The bank was closed and placed under statutory management seven years ago on accusations of money laundering, tax evasion and economic sabotage. Yesterday, Matemu denied the claims referring the Star to the speech he gave at the EABL event: ""I have never met any official of the said bank. I am not ready to be distracted on our main focus of fighting grand corruption. I refer you to the speech I delivered yesterday and where I said they are becoming innovative in their quest to divert attention. I have learned from my predecessors. All I can say is to invite you to keep watching this space,"" he said. Sources at Integrity Centre said the commission received a letter from an official describing himself as the managing director of the bank but resolved to ignore it since a bank which is already under statutory management cannot have such an official."
523,The Star,2/10/2014,Ruto Warns Leaders On Corruption,,KENYA (92%),,,Newspaper,Manuel Odeny,ENGLISH,208 words,,10-Feb-14,,LEGISLATIVE BODIES (90%); CORRUPTION (90%); POLITICS (90%); EMBEZZLEMENT (78%); FUNDRAISING (78%) Kenya; Corruption,"Deputy President William Ruto has said the Jubilee government will not condone corruption in both national and devolved funds. Ruto asked those in charge of devolution and national funds meant for development to ensure every coin is spent wisely for to achieve Vision 2030. He said the government will ensure those embezzling funds meant for development are prosecuted. ""Funds must be utilised well as it is time to separate those who want to deliver from those who don't,"" Ruto said. He said the government is ready to work with any political party and leaders to ensure development is achieved in the country. ""We were elected to help Kenyans regardless of the party and since politics is over, party politics is also over. As leaders we need to fasten our belts for development,"" Ruto said. He was speaking yesterday during a fundraiser in aid of Nyamutiro SDA Church in Kuria East subcounty, Migori county. Governors and senators from Nyanza and Rift Valley appealed to the communities along the borders to embrace peace and concentrate on development. Governors Zachary Obado (Migori), Samwel Tunai (Narok) and Senators Charles Keter (Kericho) and Wilfred Machage (Migori) said programmes should be put in place to end cattle rustling along the border."
524,The Star,2/22/2014,"Propaganda, Perception and the Fight Against Corruption [opinion]",,KENYA (96%),,,Newspaper,John Githongo,ENGLISH,1943 words,,24-Feb-14,,CORRUPTION (90%); PROTESTS & DEMONSTRATIONS (90%); CIVIL RIGHTS (89%); NATIONAL SECURITY (76%); ASSOCIATIONS & ORGANIZATIONS (76%); HEADS OF STATE & GOVERNMENT (76%); MUSLIMS & ISLAM (64%); COST OF LIVING (60%) Kenya; Corruption; Legal and Judicial Affairs,"long arm of the law: Activist Boniface Mwangi arrested by the police. Even as Kenyans were digesting Mr. Kimemia?s words, thepolice violently moved to brutally break up a peaceful protest rally led by prominent good governance activist Boniface Mwangi, intotal disregard of the constitutional provision protecting citizens? rights to peaceful demonstrations. On the 13th of February, the National Security Advisory Committee (NSAC) issued a statement signed off by the Secretary to the Cabinet, Francis Kimemia. Reading it, it is impossible not to have a sense of dí©jíæ-vu. The substance of the statement - that a foreign government is funding organizations to destabilize the Kenya government - is not new. In actual fact this is a familiar Moi-era narrative, the timing of whose re-emergence can only be described as anachronistic. That is, of course, unless this echo of a bygone era is a diversionary tactic, intended to distract Kenyans from much more pressing matters. In a country where we are living in a clearly deteriorating security situation, it is deeply troubling that the NSAC would have found the time to be seized with, and opine publicly to, such distracting falsehoods. Troubling because all this is happening while the truth behind Westgate saga remains unresolved, questions still linger about the death of Senator Mutula Kilonzo, and 'collapsing billboards' 'exploding light bulbs' starkly demonstrate the security challenges we face. Add to this what seems to be a serious crackdown on supposed Muslim extremist elements at the Coast that could serve to further alienate a youthful, angry and hungry demographic there. Additionally, we have witnessed violence that has caused the displacement of over 50,000 Kenyans from Moyale in Marsabit County. Tensions in Tana River, Mandera, Wajir, Garissa, Bungoma, Busia, and Trans Nzoia and in the border zone of the Kalenjin and Luo communities testify to this insurgent narrative. In the midst of all this the NSAC, in an uncharacteristic statement, choose to opine on their fear of 'demonstrations' by 'activists'. Not only was the content of the statement somewhat alarming, so too was the context. Even as Kenyans were digesting Mr. Kimemia's words, the police violently moved to brutally break up a peaceful protest rally led by prominent good governance activist Boniface Mwangi, in total disregard of the constitutional provision protecting citizens' rights to peaceful demonstrations. Someone, somewhere, has their priorities upside down. Those who joined Mr. Mwangi in person or spirit were motivated by issues that all Kenyans are currently complaining about - unemployment, the high cost of living, insecurity and corruption. In recent weeks the head of state has lashed out angrily against corruption with more vigour than ever before. The rhetoric against corruption has developed a consistency that is interesting, with the President even admitting that some of the worst offenders where corruption is concerned work in his own ministry. This frankness has been most intriguing; his frustration that corruption networks threaten the efficient roll out of his government's ambitious infrastructure programme has been very evident. It is timed well because while most Kenyans complain about graft, there is a sense of fatalism as to whether the government will do anything about it. Polls conducted both within and outside the country have been consistent in demonstrating that the country has slid backwards where corruption is concerned. The massive infrastructure projects the government has embarked on have ran up against the most formidable enablers of corruption in Kenya - the giant embedded networks of graft that have had 50 years to consolidate their grip on our State. Combined, they are more powerful than the institution of the head of state. The insidious nature of these networks around the world cannot be exaggerated. Embedded corruption networks consist of four groups of players, beginning with the private sector (especially brokers whose currency is access to power), and key operatives in the banking and legal fraternities. Second, the networks always include politicians who ironically are the most dispensable of the four groups of players. Elections can be held, key political godfathers of particular deals replaced, but the deals don't die, political careers, reputations and ambitions do instead. Third, the resilient core of any powerful corruption network is the bureaucracy. Here I speak not of the permanent secretary, but those lower down the ladder who shuffle contract documents from office to office. Finally, no embedded network succeeds without the protection of security sector - police and intelligence. In some countries, for example, a couple in West Africa, the drug trade is overseen by the military. Embedded graft networks make even the most well-meaning goals of an administration extremely challenging to achieve within the time allocated and at a cost that doesn't drive the poor deeper into penury. They also poison key governance institutions such as the Security Services, Judiciary and Legislature. In an increasingly globalized world, the architecture of ripping off the poor in turn uses the same networks. So money launderers (in 2010 over US$3 billion in illicit flows passed through Kenya), corrupt officials and their partners, drug traffickers, digital era slavers who trade in people (especially girls who are now a more profitable 'commodity' for organized crime than heroin), and those who are involved in the financing of terrorism increasingly in turn also use the same networks. On the anti-corruption front, Kenya is stuck in a rut. Dealing with the powerful networks that thrive here means that that in the first instance you can't simply shut them down. One starts by destabilizing and disorganizing them via all the tools available to an Executive in its arsenal. A massive variety of technical tools exist - from procurement rules to the use of digital technology to monitor, measure and analyse graft in an actionable manner. All this presumes the Executive has the will to do this - President first. They can then be dismantled and measures put in place to limit their chances of their reconstitution. The push for major prosecutions is important but prosecution is the bluntest instrument in the fight against corruption. Indeed, all over the world the corrupt love going to Court because their lawyers are better paid; legal prosecution buys them time and allows them to probe for weaknesses in the institutions of law that can be exploited. Secondly, and ironically, one can't always fight corruption successfully using outlier bespoke institutions that came into vogue in the 1990s, such as anti-corruption commissions. These were created because of the failure of institutions such as the offices of the Attorney General and the Director of Public Prosecutions to prosecute corruption, and of the Police to investigate it. At the end of the day you can't deal with graft without the police on your side, hard as it is to reform that institution. In my experience, skilled cops when properly incentivized and with enough political cover are ruthlessly efficient against graft. Third, embedded networks revile transparency. All their letters, even those touching on the most mundane affairs of government in which they have an interest are always marked 'confidential' or 'secret'. Opening up government contracts and budgets to public scrutiny is essential to fight graft. As citizens make more use of our Freedom of Information provisions this should help. Fourth, a government in the grip of systemic corruption such as Kenya's is, needs to appreciate that corruption is 50 percent perception and 50 percent reality. The current controversies around the SGR, laptop and other projects bedevilling the Jubilee administration for example, has made the President and his administration a victim of the generalized cynical attitude where Kenyans do not believe that the government is serious even when the President says he wants to fight corruption. This is partly informed by history, the 'we've heard it before syndrome'. It is made exponentially worse by the kind of bizarre legitimacy-destroying statement the NSAC issued last week and the contradictory statements of different officials on the projects that are at the centre of public controversy. The management of expectations and communicating these carefully to a jaded public is key. President Uhuru has about a year left, if not less, to make significant headway in discombobulating then dismantling our embedded networks and replacing them with delivery systems and frameworks that are effective and transparent. Fifth, it helps when corruption is made a national security issue. The Chinese, for example, in their current five-year development plan, explicitly identify corruption as the biggest threat to the Communist Party's hold on power. Across Africa, too many intelligence agencies spend their time spying on the 'opposition', when it would do their countries well to invest their resources in also protecting the national piggy bank. Six, if you want to fight corruption, don't start a war with the media and civil society. What they say and do may bring discomfort, but their vigilance is essential to bolstering the Government's own efforts against graft. In Kenya's case, one of the unintended consequences of current official attempts at curbing the freedom of media and civil society to operate will be to further internationalize global activism against graft and human rights abuses in Kenya - both by institutions and individuals especially on social media. This is almost invariably accompanied with a personalization of the problem - i.e. 'the President did it' whether true or not. A reliance on propaganda via the gutter press, social media and online papers whose mission is to lie, apparently on behalf of the government or elements of it, also eventually backfires every time. The truth always emerges with the resultant deepening of public scepticism and cynicism. Last but not least, any effort to fight graft must have clear strategy for dealing with campaign finance. The proceeds of corruption often pay for increasingly expensive American-style campaigning. Those who contribute the largest sums are not donors but investors who expect a return. They become the preferential shareholders of Kenya Inc. Their demands and expectations are often inimical to the expressed ambitions of an administration vis-íæ-vis corruption generally. Finally, one recognizes that the most paralyzing corruption is the one that afflicts family and friends. And sadly, in terms of informing the public mood and defining the legacy of a leader vis-íæ-vis corruption, it is how one handles this that speaks loudest regarding the true intentions regarding corruption. The seminal 1996 Warioba Report on corruption in Tanzania argued that to succeed in the fight, one needs to literally transform it into a mass movement where all wananchi act against incidents of corruption that confront them personally and as families. This bottom-up approach began to take place in Kenya in January 2003. Across the country, citizens were arresting cops who sought bribes from them. Sadly, it fizzled out within six months, starved of the political will it needed to make it sustainable, but making evident two things. First, it is only a campaign of this nature, by the people, that can make a major demonstrable impact in the short to medium term. Secondly, for this to be sustained, the will, legitimacy and determination of the government's top leaders must be manifest."
525,The Star,3/1/2014,Murder of Kenya Power Staff Linked to Corruption,,KENYA (98%),,,Newspaper,Kamore Maina,ENGLISH,545 words,,3-Mar-14,"NAIROBI, KENYA (90%)",MURDER (90%); INVESTIGATIONS (90%); CRIMINAL INVESTIGATIONS (90%); CORRUPTION (90%); SHOOTINGS (90%); LAW ENFORCEMENT (90%); NATURAL GAS & ELECTRIC UTILITIES (89%); MANAGERS & SUPERVISORS (89%); EXECUTIVES (89%); ELECTRICAL ENGINEERING (89%); TECHNICIANS & TECHNOLOGICAL WORKERS (89%); ENERGY CONSUMPTION (89%); INTERNAL INVESTIGATIONS (78%); POLICE FORCES (78%); MANUFACTURING FACILITIES (73%); INTERNAL AUDITS (72%); APPOINTMENTS (71%); FINES & PENALTIES (62%); EXECUTIVE MOVES (54%); AUDITS (50%) Kenya; Legal and Judicial Affairs; Corruption,"TWO Kenya Power engineers murdered in the last month may have been victims of corruption in the parastatal. Yesterday Nairobi police CID commander Nicholas Kamwende said that police are investigating this possibility after the murder last Wednesday of Engineer Hannington Nyongesa Wandisi in Matasia, Ngong. Nyongesa was in charge of the Large Power section in Limuru before he was transferred to Kajiado shortly before his death. On January 23 Kenya Power engineer Francis Muchiri was shot dead in Thika. Muchiri, the KP manager in charge of Large Power in Thika region, was killed while entering his house in Ngoigua estate at around 11pm. Gunmen forced their way into his compound, shot him twice and fled. Nothing was stolen. Yesterday Thika Police Chief Paul Letin said police are yet to identify the killers. Last Wednesday Nyongesa had just arrived at a bar to watch a football match when he received a telephone call. He went outside to answer it and was shot dead as he was receiving the call. Nairobi Police commander Benson Kibue said patrons in the bar heard gunshots and found Nyongesa. The gunmen fled under the cover of darkness. Nothing was stolen from him. Nyongesa and Muchiri both worked in the Large Power department of Kenya Power which deals mainly with factories and industries. There have been rumours of illegal connections and power theft rackets saving some businesses millions of shillings per month. Yesterday Kamwende said police are also looking into possible links between the deaths of the two engineers and the alleged power theft racket. However the Kenya Power Managing Director and CEO, Dr Ben Chumo, yesterday downplayed claims that the two engineers might have been killed because of a racket between company staff and large power consumers. Unscrupulous engineers allegedly collude with large power consumers to alter power bills so that the consumer pays less than the actual power consumed, according to insider sources. The businesses allegedly pay KP employees a share of the money saved from their power bills. Chumo was appointed acting CEO of KPLC in June last year and was confirmed as the boss of Kenya Power in January. Once Chumo took over, he started a crackdown on illicit deals and slapped hefty fines on some consumers. Chumo said he did not wish to speculate on the cause of death of the two engineers as the police were investigating. He pointed out that KP stopped staff last September from reading meters of large consumers of power after installing the Automatic Meter Reading. The meters of large consumers are now read electronically from the KP head offices in Nairobi and then copied to the IT, Internal Audit and the Commercial Services departments. Chumo did not reveal how much KP might have lost before the new automated systems were installed. Yesterday Chumo confirmed that some top KP managers have gone on leave but insisted that it was for internal administrative reasons and nothing to do with corruption. He said none of them have been sacked. Those on leave include Coast Regional Manager engineer Joseph Lengaki, Manager Commercial Services Rosemary Gitonga, and Engineer in charge of Pre-paid Metering Joseph Wekesa. Engineer Sammy Muita, formerly in charge of National transmission, has become a regional manager."
526,The Star,3/8/2014,Corruption 'Taking Root in the Counties',,KENYA (93%); AFRICA (93%),,,Newspaper,Brian Otieno,ENGLISH,360 words,,10-Mar-14,,CORRUPTION (93%); COUNTY GOVERNMENT (90%); COUNTIES (90%); LOBBYING (90%); INTERNAL AUDITS (86%); AUDITS (86%); EXECUTIVES (76%); EXTORTION (74%); COUNTERFEITING (65%) Kenya; Corruption; Governance; Legal and Judicial Affairs,"Corruption has increased since devolved governments were introduced, a human rights lobby has said. Haki Africa yesterday said corruption is taking root in county governments. ""While huge sums of tax payers' money was being lost to the then centralised system of governance, it has now become apparent that collectively, Kenyans are losing much more through the devolved system of governance,"" said Haki Africa executive director Hussein Khalid in a statement yesterday. Khalid called on governor and their finance executives to be more strict and punitive against corrupt activities and individuals. He said governors must fight corruption at all costs. ""In Mombasa county for example, Kongowea market is evidence of such a matter where cartels, most of them led by politicians are extorting money from business and denying the county the much needed revenue for development projects,"" said Khalid. He said the county loses Sh1 million from the market daily due to the cartels. Corruption allegations have been levelled against Mombasa finance executive Walid Khalid but he has since denied all of them. Walid and Kongowea ward representative Jabess Oduor have been at loggerheads with each accusing the other of propagating corruption. The executive has accused the county representative of being the leader of a cartel that operates in Kongowea market. Oduor, who has denied the allegation, has however countered saying Walid has forged documents to try and implicate him in the corrupt deals he has been undertaking in the county. Yesterday, a supposed internal audit report dated February 25 and signed by S. K. Kiragu, the interim county internal auditor, implicates Walid in a scam involving an imprest of Sh608,130 in which the executive is said to have received double payment for an official trip to Holland. The Star could not verify the authenticity of the audit report as calls to various departments and authorities either could not get through or went unanswered. The report indicates that an imprest warrant number 1798742 amounting to Sh849,591 was issued to Walid on February 3 and wired to his account through the G. Pay System on or around February 6."
