SEARCH_ROW,PUBLICATION,DATE,TITLE,EDITION,COUNTRY,PUBLICATION-TYPE,BYLINE,LANGUAGE,TI,STATE,LOAD-DATE,CITY,LENGTH,SUBJECT,TEXT
2,Mmegi/The Reporter (Gaborone),2/5/10,Mogae Speaks on Corruption in Nigeria [document],,NIGERIA (95%); BOTSWANA (93%),Newspaper,Festus G. Mogae,ENGLISH,,,10-Feb-10,,1516  words,CORRUPTION (93%); POLITICAL CORRUPTION (78%); FINANCIAL CRIME COUNTERMEASURES (78%); BRIBERY (78%); FRAUD & FINANCIAL CRIME (78%); RULE OF LAW (75%); LITIGATION (71%); DRIVERS LICENSES (63%); IMMIGRATION (50%) Botswana; Nigeria,"The following is the text of the speech delivered by former Botswanan President in Nigeria on corruption. It is indeed an honour and privilege for me to be given this opportunity to deliver a keynote address at the third launch of such an important campaign - the Anti-corruption Revolution. I must from the outset congratulate your Economic and Financial Crimes Commission for initiating such a campaign. It is more pleasing to note that the Anti-Corruption Revolution concept is designed to provide a platform for citizens' participation in the fight against corruption, economic and financial crimes in Nigeria. This is an important recognition that the Government cannot fight corruption alone, but needs the active participation of ordinary citizens, the public sector, the private sector and the civil society. Corruption is a problem that affects us all; we are all its victims; therefore we all have to be involved in fighting against it. I applaud you for reaching out to the public and civil society because corruption is a problem of immense proportions. It is complex and threatens national development and service delivery. Public education and mobilisation is therefore, crucial because we do not only need people's active participation but their confidence and support as well. Corruption should never be allowed to grow roots in any society. It must be nipped in the bud before it becomes widespread and sophisticated to a point where it threatens the very fabric of society. When corruption reaches endemic proportions it impacts on all aspects of life, and nothing can be done unless a palm is greased. For example, a bribe to the right person will enable one to pass an examination, get a driver's licence, land a contract and win a law-suit. Corruption should never be allowed to become an acceptable culture in any society. It is therefore, pleasing to note that as a nation you have taken it upon yourself to start a process of uprooting the germination of such a dangerous tumour. Nobody is going to come from somewhere to weed corruption in Nigeria, but it is up to the Nigerians themselves, at all levels, to shoulder that responsibility. I am, therefore, happy that what we are witnessing, in the form of the Anti-corruption Revolution campaign, are efforts of a people taking up the responsibility of building a clean society. Corruption retards development because it leads to loss of Government revenue; it leads to a slowdown in the development of essential services; it is a threat to democracy - because it can enable those involved to win power and influence; it can circumvent the will of the people and undermine the rule of law. It is enemy number one of law and order and good governance. Corruption also exacerbates poverty in that it effectively transfers resources from state coffers to the few rich and powerful. However, it is not confined to the rich and powerful, but corrupt Licencing Officers, Immigration and Customs Officials, Police Officers, Army Officers, can inflict untold damage to an economy and society. A corrupt bureaucracy can ruin the integrity of a nation, retard national development and impede service delivery. Greedy, selfish and corrupt public officers and that includes politicians, are a danger to development and law and order. Countries that have attained the dubious distinction of being some of the most corrupt nations in world attained that unfortunate label because of their corrupt bureaucracies and politicians. Corruption also distorts factor prices, to the extent that those at the receiving end are rewarded for little or no work done and the cost of a project turns out higher than it would be. Corruption distorts priorities in that those who are corrupted tend to give priority to development projects of little or no national benefit. What you are embarking upon requires a realistic and honest assessment of the extent of corruption in your country and its dimensions. Above all, ask yourself whether you have adequate political will to ensure that combative action is taken. Without political will this campaign will not go anywhere. It is also important to emphasis that for an anti-corruption campaign to succeed, the Government must be prepared to risk potential embarrassment to itself, and there must be an accompanying realisation that whatever mechanisms are put in place, they must be so organised and structured that the campaign and the campaigners have unfettered operational autonomy. The Government must also ensure that the campaign enjoys adequate human and physical resources, and that irrespective of the possible political consequences, there will be no slackening of resolve. You should also bear in mind that any anti-corruption campaign, which seeks to provide immunity to any group of people is bound to fail because it will lack public confidence and support, which is essential to its success. Allow me now to briefly tell you how we fight corruption in my country, Botswana. In addition to the constitutionally-entrenched oversight organisations such as the Auditor-General and the Directorate of Public Prosecution, we have established independent organisations such as the Directorate on Corruption and Economic Crime, the Ombudsman and the Public Procurement and Asset Disposal Board. These key anti-corruption and accountability institutions ensure strict adherence to proper financial management practices and good corporate governance. They have strong legal mandates and powers to investigate and report on possible abuses and departures from financial laws and regulations, designed to protect the public interest with regard to, among other things, safeguarding of the collection, custody and use of public funds and assets, including land, the security of private property, as well as the freedom to trade anywhere in the country. An independent judiciary underpins these institutions, and we continue to exercise vigilance to ensure that they all adapt to the changing times. In Botswana we are committed to the goal of 'zero tolerance' for corruption. Our resolve is that corrupt practices must remain a 'high risk low return undertaking'. This has earned Botswana a rating, by Transparency International, as the least corrupt country, in Africa and the developing world, and indeed among the best in the world. Our anti-corruption agency was established in 1994 as a response to the unfolding of incidences of corruption in the country which were threatening our hard earned economic development and good reputation as a society. The DCEC, as it is popularly known, is an operationally autonomous agency armed with special powers to investigate acts of corruption. We have charged this agency not only with the responsibility of investigation and prosecution, but also modelled it upon other successful examples from the Far East, given it the responsibility for corruption prevention studies and public education. Public education is a major component of the DCEC mandate. This anti-corruption agency has made corruption a public issue, bringing it to the forefront of our citizens' attention. Because of public education and involvement the agency receives reports of alleged corrupt practices from members of the public and they investigate them to establish their nature. Those that happen to fall within its purview are followed and some end up as court cases. The agency also follows media reports on allegations of corruption. We also have a long established Parliamentary Public Accounts Committee, or PAC, to ensure transparency and accountability in public spending. The PAC, whose members are Members of Parliament from both the ruling and opposition parties, holds permanent secretaries to account for any misdeeds in their ministries. They have to account for their budget expenditure and that includes under-expenditure and over-expenditure. We have also embarked upon an intensive campaign to make the whole of the public service accountable and performance-oriented with a view to providing the tax payers with the services they have a right to expect. We inculcate codes of ethical conduct, transparency and accountability into the whole of the public service. Chairperson, let me conclude by reiterating the point I have already made that, the task of fighting against corruption cannot be left to Government alone. It needs partnership between the public sector, the private sector, civil society and the general public. Public participation, confidence and support are paramount in any anti-corruption campaign. I have noted with satisfaction that this is what you are doing - building partnerships between the government and other critical stakeholders - general public, public sector, private sector and civil society. There is no other way but for everybody to be involved. Your theme for this campaign - 'Popular Participation for National Rebirth'- is very much appropriate but it should not remain just a slogan; it should be translated into reality through the mobilisation of the general public. I thank you for your attention and wish successful in this crucial campaign."
3,Concord Times (Freetown),2/8/10,ACC Mourns Corruption in Schools,,SIERRA LEONE (79%),Newspaper,Ibrahim Tarawallie,ENGLISH,,,12-Feb-10,,292  words,CORRUPTION (94%); EDUCATION SYSTEMS & INSTITUTIONS (90%); STUDENT EXPENSES (72%); SECONDARY SCHOOLS (65%) Sierra Leone; Crime and Corruption; Education,"Deputy head of the Anti-Corruption Commission, ACC has voiced out his commission's frustration at the number of alleged corrupt practices reported in some schools across the country. Addressing members of the conference of principals in Freetown, Morlai Buya Kamara said the ACC was inundated with several reports of illegal charges, extortion, unfair treatment of pupils, illegal sale of pamphlets and extra school charges from the general public. ""The commission is seriously disturbed and worried about these problems in our schools. The commission's patience has been over-tested. What we have in our schools today is complete system failure,"" he lamented. Kamara said as a responsible commission, the ACC would not sit by and allow the educational system to collapse due to corruption, adding that they would ensure they enforce what was inside the ACC Act. ""This time around, we are very much determined to prove the conference of principals wrong. Let us try and improve the system because if we leave it as it is right now, posterity will not be kind to us,"" he maintained. Kamara said some principals need commendation because of their role in ensuring that the education system is improves. ACC's director of systems and processes review unit, Neneh Dabo said the commission has realized that since the release of the education report last year, not much has been done. She encouraged the school authorities to report to the commission issues of importance. Some of the schools that were reported to the ACC include; St. Augustine secondary school in Lungi for increase in school fees; Government Rokel secondary school; Government Model; and Albert Academy for illegal sale of pamphlets to pupils; and Prince of Wales for unfair treatment to pupils."
4,The New Times (Kigali),2/8/10,Nyamabuye Local Leaders Accused of Corruption,,RWANDA (79%),Newspaper,Daniel Sabiiti,ENGLISH,,,10-Feb-10,,163  words,BRIBERY (90%); CORRUPTION (90%); EXECUTIVES (88%); WETLANDS (55%) Rwanda,"Local leaders in Nyamabuye sector along with local defence in the area have been accused of taking bribes. Nyamabuye Sector Executive Secretary, Jean Babptiste Mugunga made the remarks on Saturday, after a resident Sosthene Minani- said he bribed grass-roots leaders and local defence personnel in an effort to get authorisation to construct a house in a wetland. Minani, whose house was being demolished by local leaders and security official said: ""I cannot understand why my house is being demolished yet I have already handed Rwf600,000 to some local leaders including police and local defence personnel in Gahogo cell."" He added that he paid the last instalment of Rwf100,000 on February 4 through a third party. The District agronomist, Jonathan Sunzu, said Minani was informed of the illegal activity and asked to halt the construction, but didn't heed. Reacting to the claims, Mugunga said, 'we are going to investigate this case and culprits involved will be severely punished."""
5,The Times of Zambia (Ndola),2/8/10,Clergyman Cites Corruption in Church,,ZAMBIA (93%),Newspaper,Chishimba Chishimba,ENGLISH,,,10-Feb-10,,407  words,RELIGION (94%); CLERGY & RELIGIOUS (91%); CORRUPTION (90%); CHRISTIANS & CHRISTIANITY (90%) Zambia; Religion,"UNITED Church of Zambia (UCZ) Synod Bishop Mutale Mulumbwa has called for transparency in the manner members handle finances as the church should be free from underhand activities. Bishop Mulumbwa regretted that issues pertaining to church finances in some congregations were being done 'underground.' The Bishop was speaking in Ndola yesterday during a sermon at Northrise Congregation under the theme 'finding out what pleases the Lord'. He said in some instances, church treasurers and other congregation leaders did not want to make public financial positions and revenue of the church because they lacked accountability. ""There is corruption in church. Things are being done underground. There should be transparency in the way things are done,"" he said. Bishop Mulumbwa, however, expressed happiness that at Northrise Congregation, church leaders were able to outline every income and expenditure to congregants and appealed to others to do the same. ""I am happy that things here are being done transparently. The announcements about money are important. This building is beautiful because of the manner you are handling matters. I was here when it was just a plot some years back,"" he said. In an apparent reference to the need to contribute to the church, he said God had his own way of doing things and advised Christians to always establish what the Lord wanted. ""You should pay attention to what God requires us to do. Many Christians ask God to give them what they want, but they don't want to give to God what he wants,"" he said Quoting from Luke chapter 6 Verse 38, Bishop Mulumbwa said Christians should give willingly to others, so that in return they would continue to receive with the blessings of the Lord. ""God is not the beneficiary, beneficiaries are ourselves. People should learn to please God. Give and it shall be given to you. When you do what God wants, you are inspired,"" he said. He said people should not get discouraged by fellow Christians who disparage them when they contribute to the Church's development, as it is those who give in good faith that will enhance God's work. Northrise Congregation minister-in-charge, Mwape Chilombo said she was elated that the Synod Bishop found time to deliver a sermon when the congregation launched the first English service. Reverend Chilombo said the English service was introduced because the congregation had grown and some were not conversant with the vernacular language, Bemba."
6,Concord Times (Freetown),2/15/10,Immigration Dept Admits Corruption,,SIERRA LEONE (93%),Newspaper,Alusine Sesay,ENGLISH,,,19-Feb-10,,197  words,CORRUPTION (94%); IMMIGRATION (93%); EXECUTIVES (90%); PASSPORTS & VISAS (90%); TERRORISM (52%) Sierra Leone; Migration; Crime and Corruption,"Chief Immigration Officer has admitted to the public that his office was guilty of corruption. Alpha Kholifa Koroma said he was not surprised when President Ernest Bai Koroma accused the institution of being corrupt. The department was counted among institutions which the president recently upbraided for not performing to the expectations of the government and members of the public, and also for being corrupt. The Immigration department was particularly scolded by the president for issuing out passports to foreigners. Koroma revealed that there were workers who were bent on derailing the president's agenda for change. He accused some unscrupulous immigration officers of issuing out passports to foreigners thereby imperiling the country's image. The Immigration boss totally condemned the act of criminally selling Sierra Leonean passports to foreigners saying, ""Terrorists can use it to create havoc elsewhere while Sierra Leone will carry the blame"". He promised to put stringent measures in place to curb all corrupt practices currently plaguing the establishment. ""I have put in place watertight measures to stop all corrupt activities in the department,"" Koroma maintained."
7,The New Times (Kigali),2/15/10,Parliament to Assess Anti-Corruption Measures,,RWANDA (94%),Newspaper,Edwin Musoni,ENGLISH,,,19-Feb-10,,246  words,CORRUPTION (95%); LEGISLATIVE BODIES (92%); TALKS & MEETINGS (90%); POLITICAL CORRUPTION (78%); CONFERENCES & CONVENTIONS (78%) Rwanda; Crime and Corruption,"Members of Parliament, Senators and Parliamentary support staff are expected to meet in a day-long meeting today to assess the progress made in fighting corruption and lay new strategies to boost the role of Parliament in curbing the vice. The consultative conference organized by African Parliamentarian Network Against Corruption/ Rwanda- Chapter (APNAC-Rwanda) will be graced by the president of the Senate, Dr. Vincent Biruta. A concept paper from APNAC-Rwanda, a copy of which The New Times has obtained, indicates that the meeting will address root causes of corruption, policies put in place against it and how to improve service delivery as a strategy to fight corruption. The document adds that the main objective of the meeting is to sensitize lawmakers from both Chambers to take the prime role in promoting several anti-corruption policies. ""Members of Parliament are expected to come up with concrete and harsh measures against corruption and related crimes,"" the document reads in part. Several experts in the fight against corruption are expected to address the Parliament during the extraordinary plenary meeting. ""There will be several presentations on the current status of corruption in the country and the role of the Parliament in fighting corruption,"" the concept note from Parliament adds. Currently, APNAC- Rwanda has 63 registered members. Senate President Biruta, Speaker Rose Mukantabana and Ombudsman Tito Rutaremara are the honorary members of APNAC-Rwanda."
8,The New Times (Kigali),2/16/10,Speaker Calls for Intensive Fight Against Corruption,,RWANDA (94%),Newspaper,Edwin Musoni,ENGLISH,,,19-Feb-10,,304  words,CORRUPTION (97%); LEGISLATIVE BODIES (91%); ECONOMIC DEVELOPMENT (90%); EMERGING MARKETS (90%); POLITICAL CORRUPTION (90%); ECONOMIC CONDITIONS (90%); ECONOMIC GROWTH (90%); TALKS & MEETINGS (78%); PUBLIC POLICY (78%); AIDS & HIV (70%); GLOBALIZATION (67%); POVERTY & HOMELESSNESS (66%) Rwanda; Crime and Corruption,"The Speaker of the Lower Chamber of Parliament, Rose Mukantabana, yesterday urged lawmakers to intensify action against corruption saying that the vice can significantly derail the nation's economic growth. She made the call while opening a day-long parliamentary anti-corruption meeting organized by African Parliamentarian Network against Corruption/ Rwanda- Chapter (APNAC-Rwanda). The meeting brought together all MPs, Senators and parliamentary support staff. ""Corruption is a vice that is hard to eliminate and that is why collaborative efforts are required,"" said Mukantabana. She equated corruption to the HIV/AIDS saying that the two are closely related since both involve victimization. Mukantabana called upon the entire House to be exemplary in the fight against corruption articulating that Parliament should take a lead by being a corrupt-free institution in the country. ""Intensified curbing of corruption is one way to progressive development and economic growth,"" she said. The Speaker, however, accused nationals who do not invest in their country and opt to bank their money in foreign banks. ""Corrupt officials do not invest their money in the country; they instead opt to channel the money to foreign banks leaving people back home in extreme poverty,"" she said. The Chairperson of APNAC-Rwanda, Constance Mukayuhi, a member of the lower chamber, said that by virtue of Rwanda's position as one of the poorest countries in the world, it has to protect its economy by strengthening measures against corruption. ""In order to catch up with the pace at which globalization is moving, we need to do away with all forms of corruption,"" said Mukayuhi. During the meeting, lawmakers hailed government policies and strategies and pledged to increase their collaboration with State institutions charged with fighting corruption."
9,Mmegi/The Reporter (Gaborone),2/18/10,Stop Looting and Corruption - Ntuane,,BOTSWANA (94%); ZIMBABWE (79%); AFRICA (79%),Newspaper,Bame Piet,ENGLISH,,,19-Feb-10,"GABORONE, BOTSWANA (92%)",501  words,ETHICS (90%); CORRUPTION (90%); BUDGETS (89%); NATIONAL SECURITY (88%); ASSOCIATIONS & ORGANIZATIONS (79%); CONFLICTS OF INTEREST (78%); RECESSION (77%); ECONOMIC NEWS (77%); CONTRACT AWARDS (76%); COMPANY STRUCTURES & OWNERSHIP (76%); MANUFACTURING OUTPUT (76%); JUSTICE DEPARTMENTS (73%); BUDGET CUTS (72%); GOVERNMENT BONDS (71%); INTELLIGENCE SERVICES (69%) Botswana,"Member of Paliament for Gaborone West South, Botsalo Ntuane has called on government to adopt ethics that will curb corruption if it is serious about attracting investors here. He said there is a developing trend by some people close to power, to loot the government. Ntuane was making a comment on the budget speech on Monday. He cited instances where some ministers own companies that tender for the supply of government goods and services. This is wrong, he said, adding that it is unethical. He said people should make choices between either being ministers or businessmen. Though he did not mention any names, the MP was probably referring to recent reports that a company owned by the wife of Minister of Justice, Defence and Security Ramadeluka Seretse has won tenders to supply equipment to government security organisations. When contacted for comment late last year, the minister said he did not see any conflict of interest when his wife's company won a tender to supply the government ministry he heads with equipment, because the President had no problem with it. Ntuane suggested that it should not only be the President who declares his assets and liabilities but that all public office holders - MPs and members of the judiciary should do the same. He said the current system where Cabinet ministers only declare to the president could be a breeding ground for corruption. This, he warned will turn investors away as some of them prefer to do business with transparent countries. He alleged that Botswana is run by a few individuals who are looting the riches of the nation, as has happened in those African countries known for corruption and nepotism. The MP further told the House that government should reduce the budgets of the Botswana Defence Force (BDF) and Directorate of Intelligence and Security (DIS) because Botswana is not under siege. He also said courts should be given time to litigate on cases involving people who have been declared Prohibited Immigrants by the President adding that it is wrong for them to be kicked out of the country, whilst their cases are still incomplete. The MP did not hide his discomfort with the constituency league saying it should also be set aside because the economy has suffered a recession and there is no money. He said money spent on the games should be spent on important areas of social services such as trucks for garbage collection, repairing streetlights and provision of water system toilets. Meanwhile, Bagalatia Arone told the house that the BDP has for many years failed to develop his constituency. He said the President of Zimbabwe Robert Mugabe is a better man compared to the BDP government because he has educated his people. He said in Botswana the manufacturing sector has not been fully exploited despite abundant raw materials. On sport development he suggested that the constituency league be abolished and Botswana football Association allowed to run football in the country. He said the league does not develop sport in any way."
10,The Herald (Harare),3/5/10,MDC-T Riddled With Corruption - Chamisa,,ZIMBABWE (79%); SOUTH AFRICA (79%); UNITED KINGDOM (79%),Newspaper,,ENGLISH,,,5-Mar-10,"HARARE, ZIMBABWE (79%)",169  words,CORRUPTION (92%); SENTENCING (90%); CRIMINAL CONVICTIONS (90%); ETHICS (88%); POLITICAL CORRUPTION (88%); INVESTIGATIONS (88%); VERDICTS (87%); JAIL SENTENCING (70%) Zimbabwe; Crime and Corruption,"MDC-T has admitted its ranks are riddled with corruption. In an interview on Wednesday, party spokesperson Mr Nelson Chamisa said they needed a code of ethics to rein in their errant rank and file. Councils dominated by MDC-T all over the country have come under investigation over allegations of rampant corruption. Recently, Government had to dismiss Israel Marange as Chitungwiza mayor after the courts found him guilty of corruption involving residential stands and sentenced him to serve prison time. Marange is appealing against both conviction and sentence. ""When people vote leaders into office, they do it because they want better service delivery and development and not for individual gratification,"" Mr Chamisa said. In other corruption cases, senior party officials are accused of plundering thousands of dollars in South Africa and the United Kingdom. The most recent incident of corruption in the party involves three Highfield councillors who are accused of clandestinely transferring houses into their names."
11,The Herald (Harare),3/8/10,Tsvangirai Slams Corruption,,ZIMBABWE (92%),Newspaper,,ENGLISH,,,8-Mar-10,"HARARE, ZIMBABWE (79%)",400  words,CORRUPTION (89%); CITY GOVERNMENT (89%); TALKS & MEETINGS (78%); POLITICAL CORRUPTION (78%); REGIONAL & LOCAL GOVERNMENTS (75%); AGREEMENTS (72%) Zimbabwe; Crime and Corruption,"MDC-T leader Morgan Tsvangirai has publicly admitted that his party is riddled with corruption that is threatening its integrity and vowed to fire all members found guilty. Addressing party supporters in Chitungwiza yesterday, Mr Tsvangirai said corruption had become a deep-rooted cancer in the party structures. ""What is happening now is a manifestation of a party yapindwa napongwe. This is a reflection of a party eroding as a result of corruption. This is a serious matter and recently we fired the Chitungwiza executive because of corruption. ""We again fired the Chitungwiza council that was also mired in corruption. As president of the party, I have an obligation to protect the integrity of the party and in pursuit of this obligation, I prefer to become the most unpopular leader for a very popular reason,"" he said. He maintained that the Chitungwiza councillors that were dismissed by the party for corruption did not have legitimacy to continue serving in the local authority. Mr Tsvangirai said he would meet the responsible minister over the issue soon. However, Local Government, Urban and Rural Development Minister Ignatius Chombo has already indicated that he will not fire the council over party squabbles. Mr Tsvangirai said some of the party officials who secured Government positions were abusing them for self-enrichment. ""Vamwe venyu manga musina kana nebhutsu chaidzo asi mave kufamba nemota six-six. We are very serious about this issue. Some of you are already building white houses, saka chii ichocho?"" he asked. Mr Tsvangirai's remarks on corruption come at a time when there are reports of corruption and maladministration in Chegutu, Bindura and Kadoma. Sources close to the party said a report that was tabled before the party's national council last week had shown alarming levels of corruption, with councillors being accused of enriching themselves. Turning to the ongoing talks over the implementation of Global Political Agreement issues, Mr Tsvangirai said the negotiations should come to an end to allow the inclusive Government time to rebuild the economy. He said people were waiting for the Government to deliver, hence the need to conclude the dialogue. Before addressing the rally, Mr Tsvangirai planted a palm tree at his Strathaven home in the morning in memory of his late wife Susan who died in a car accident on March 6 last year. He was assisted by his son Edwin."
